LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
39403,810,149,149,149,149
39404,598,102,102,102,102
39455,1308,646,540,516,515
39462,1262,687,552,153,153
39467,757,542,136,136,136
39470,1360,675,551,153,153
39474,1183,649,539,516,515
39476,1276,685,552,153,153
39477,1224,674,552,153,153
39479,54,54,54,54,54
39480,486,486,486,486,486
39482,1295,691,551,153,153
39485,669,103,103,103,103
39486,524,118,118,118,118
39487,1076,621,530,516,515
39488,972,607,530,516,515
39491,103,103,103,103,103
39492,683,521,514,100,100
39493,995,607,530,516,515
39494,860,587,530,516,515
39495,541,107,107,107,107
39496,1137,611,532,517,515
39497,990,606,530,516,515
39499,994,611,532,517,515
39500,519,514,514,100,100
39501,153,153,153,153,153
39503,596,524,515,100,100
39504,153,153,153,153,153
39505,734,564,528,57,57
39506,878,587,530,516,515
39507,1241,676,536,518,515
39509,734,564,528,57,57
39510,1062,615,534,515,515
39511,1220,627,536,518,515
39512,996,556,527,515,515
39513,1025,616,534,515,515
39514,718,560,527,515,515
39515,722,557,527,515,515
39516,1025,616,534,515,515
39517,944,556,527,515,515
39518,1045,627,536,518,515
39519,579,528,134,134,134
39520,1033,616,534,515,515
39521,842,543,153,153,153
39522,1115,635,531,139,139
39523,667,545,522,153,153
39526,1074,634,537,519,515
39529,1079,636,531,139,139
39530,616,516,516,155,155
39532,565,153,153,153,153
39535,904,555,526,514,514
39536,1202,654,537,519,515
39537,976,608,526,514,514
39538,985,608,526,514,514
39540,1133,617,526,514,514
39541,529,517,517,155,155
39542,69,69,69,69,69
39543,158,158,158,158,158
39544,1148,628,537,519,515
39548,1142,653,533,514,514
39549,600,520,158,158,158
39550,1140,651,543,514,514
39552,772,544,521,170,170
39553,8,8,8,8,8
39556,1250,682,549,521,514
39561,1180,662,546,522,514
39562,560,170,170,170,170
39565,584,170,170,170,170
39568,709,539,520,170,170
39569,775,575,520,170,170
39570,1213,670,545,521,514
39576,897,539,520,170,170
39577,850,573,524,156,156
39578,1242,677,553,522,514
39580,1302,692,546,522,514
39582,1302,692,546,522,514
39583,1318,692,546,522,514
39584,1318,692,546,522,514
39586,1242,677,553,522,514
